quality	fixed_acidity	volatile_acidity	citric_acid	residual_sugar	chlorides	free_sulfur_dioxide	total_sulfur_dioxide	density	pH	sulphates	alcohol
6	7.4	0.58	0	2	0.064	7	11	0.99562	3.45	0.58	11.3
5	7.7	0.39	0.12	1.7	0.097	19	27	0.99596	3.16	0.49	9.4
5	7.1	0.34	0.28	2	0.082	31	68	0.99694	3.45	0.48	9.4
5	10	0.35	0.45	2.5	0.092	20	88	0.99918	3.15	0.43	9.4
7	5.6	0.66	0	2.2	0.087	3	11	0.99378	3.71	0.63	12.8
7	7.5	0.43	0.3	2.2	0.062	6	12	0.99495	3.44	0.72	11.5
7	6.8	0.36	0.32	1.8	0.067	4	8	0.9928	3.36	0.55	12.8
7	9.1	0.29	0.33	2.05	0.063	13	27	0.99516	3.26	0.84	11.7
5	9.6	0.5	0.36	2.8	0.116	26	55	0.99722	3.18	0.68	10.9
5	7.7	1.005	0.15	2.1	0.102	11	32	0.99604	3.23	0.48	10
6	10.5	0.39	0.46	2.2	0.075	14	27	0.99598	3.06	0.84	11.4
6	8	0.18	0.37	0.9	0.049	36	109	0.99007	2.89	0.44	12.7
6	11.3	0.36	0.66	2.4	0.123	3	8	0.99642	3.2	0.53	11.9
7	7.7	0.58	0.01	1.8	0.088	12	18	0.99568	3.32	0.56	10.5
5	6.4	0.795	0	2.2	0.065	28	52	0.99378	3.49	0.52	11.6
7	7.1	0.59	0	2.1	0.091	9	14	0.99488	3.42	0.55	11.5
6	7.5	0.57	0.08	2.6	0.089	14	27	0.99592	3.3	0.59	10.4
7	7.6	0.31	0.34	2.5	0.082	26	35	0.99356	3.22	0.59	12.5
6	8.9	0.5	0.21	2.2	0.088	21	39	0.99692	3.33	0.83	11.1
6	8.9	0.5	0.21	2.2	0.088	21	39	0.99692	3.33	0.83	11.1
6	6.9	0.44	0	1.4	0.07	32	38	0.99438	3.32	0.58	11.4
6	9.3	0.49	0.36	1.7	0.081	3	14	0.99702	3.27	0.78	10.9
5	8.5	0.46	0.59	1.4	0.414	16	45	0.99702	3.03	1.34	9.2
6	8.2	0.64	0.27	2	0.095	5	77	0.99747	3.13	0.62	9.1
5	7.6	0.42	0.25	3.9	0.104	28	90	0.99784	3.15	0.57	9.1
6	11.6	0.23	0.57	1.8	0.074	3	8	0.9981	3.14	0.7	9.9
6	10.2	0.29	0.65	2.4	0.075	6	17	0.99565	3.22	0.63	11.8
7	6.6	0.52	0.08	2.4	0.07	13	26	0.99358	3.4	0.72	12.5
5	8	0.62	0.35	2.8	0.086	28	52	0.997	3.31	0.62	10.8
6	7.2	0.35	0.26	1.8	0.083	33	75	0.9968	3.4	0.58	9.5
7	9.1	0.25	0.34	2	0.071	45	67	0.99769	3.44	0.86	10.2
5	8.6	0.37	0.65	6.4	0.08	3	8	0.99817	3.27	0.58	11
7	7.9	0.3	0.68	8.3	0.05	37.5	289	0.99316	3.01	0.51	12.3
6	7.2	0.38	0.3	1.8	0.073	31	70	0.99685	3.42	0.59	9.5
6	7.9	0.19	0.42	1.6	0.057	18	30	0.994	3.29	0.69	11.2
8	10	0.26	0.54	1.9	0.083	42	74	0.99451	2.98	0.63	11.8
7	9.2	0.31	0.36	2.2	0.079	11	31	0.99615	3.33	0.86	12
6	6.6	0.725	0.09	5.5	0.117	9	17	0.99655	3.35	0.49	10.8
5	8.6	0.52	0.38	1.5	0.096	5	18	0.99666	3.2	0.52	9.4
6	6.1	0.48	0.09	1.7	0.078	18	30	0.99402	3.45	0.54	11.2
5	6.3	0.57	0.28	2.1	0.048	13	49	0.99374	3.41	0.6	12.8
5	8.1	0.78	0.1	3.3	0.09	4	13	0.99855	3.36	0.49	9.5
7	5.4	0.42	0.27	2	0.092	23	55	0.99471	3.78	0.64	12.3
6	5	0.4	0.5	4.3	0.046	29	80	0.9902	3.49	0.66	13.6
6	7	0.69	0.07	2.5	0.091	15	21	0.99572	3.38	0.6	11.3
8	7.9	0.54	0.34	2.5	0.076	8	17	0.99235	3.2	0.72	13.1
6	10.7	0.4	0.37	1.9	0.081	17	29	0.99674	3.12	0.65	11.2
6	5.8	0.29	0.26	1.7	0.063	3	11	0.9915	3.39	0.54	13.5
6	10.5	0.43	0.35	3.3	0.092	24	70	0.99798	3.21	0.69	10.5
7	7.4	0.36	0.34	1.8	0.075	18	38	0.9933	3.38	0.88	13.6
6	8	0.25	0.43	1.7	0.067	22	50	0.9946	3.38	0.6	11.9
5	7.5	0.41	0.15	3.7	0.104	29	94	0.99786	3.14	0.58	9.1
6	8.2	0.38	0.32	2.5	0.08	24	71	0.99624	3.27	0.85	11
5	7.3	0.32	0.23	2.3	0.066	35	70	0.99588	3.43	0.62	10.1
7	10	0.41	0.45	6.2	0.071	6	14	0.99702	3.21	0.49	11.8
7	8.2	0.33	0.32	2.8	0.067	4	12	0.99473	3.3	0.76	12.8
6	9.6	0.42	0.35	2.1	0.083	17	38	0.99622	3.23	0.66	11.1
7	8.5	0.18	0.51	1.75	0.071	45	88	0.99524	3.33	0.76	11.8
5	10.2	0.41	0.43	2.2	0.11	11	37	0.99728	3.16	0.67	10.8
7	8.5	0.32	0.42	2.3	0.075	12	19	0.99434	3.14	0.71	11.8
5	8.5	0.44	0.5	1.9	0.369	15	38	0.99634	3.01	1.1	9.4
6	6.5	0.34	0.27	2.8	0.067	8	44	0.99384	3.21	0.56	12
6	7.1	0.59	0	2.2	0.078	26	44	0.99522	3.42	0.68	10.8
6	7.6	0.36	0.31	1.7	0.079	26	65	0.99716	3.46	0.62	9.5
7	7.1	0.66	0	2.4	0.052	6	11	0.99318	3.35	0.66	12.7
6	8.2	0.35	0.33	2.4	0.076	11	47	0.99599	3.27	0.81	11
5	6.8	0.66	0.07	1.6	0.07	16	61	0.99572	3.29	0.6	9.3
5	6.6	0.8	0.03	7.8	0.079	6	12	0.9963	3.52	0.5	12.2
4	8.8	0.955	0.05	1.8	0.075	5	19	0.99616	3.3	0.44	9.6
7	7.2	0.25	0.37	2.5	0.063	11	41	0.99439	3.52	0.8	12.4
6	6.2	0.43	0.22	1.8	0.078	21	56	0.99633	3.52	0.6	9.5
6	7.7	0.26	0.26	2	0.052	19	77	0.9951	3.15	0.79	10.9
7	7.9	0.34	0.36	1.9	0.065	5	10	0.99419	3.27	0.54	11.2
7	7.2	0.36	0.46	2.1	0.074	24	44	0.99534	3.4	0.85	11
5	9.9	0.72	0.55	1.7	0.136	24	52	0.99752	3.35	0.94	10
6	6.8	0.65	0.02	2.1	0.078	8	15	0.99498	3.35	0.62	10.4
6	9.6	0.38	0.42	1.9	0.071	5	13	0.99659	3.15	0.75	10.5
6	7.9	0.57	0.31	2	0.079	10	79	0.99677	3.29	0.69	9.5
6	9	0.39	0.4	1.3	0.044	25	50	0.99478	3.2	0.83	10.9
6	8.1	0.53	0.22	2.2	0.078	33	89	0.99678	3.26	0.46	9.6
5	9.2	0.46	0.23	2.6	0.091	18	77	0.99922	3.15	0.51	9.4
7	5.1	0.42	0	1.8	0.044	18	88	0.99157	3.68	0.73	13.6
5	7.8	0.815	0.01	2.6	0.074	48	90	0.99621	3.38	0.62	10.8
6	7.1	0.75	0.01	2.2	0.059	11	18	0.99242	3.39	0.4	12.8
6	7.1	0.75	0.01	2.2	0.059	11	18	0.99242	3.39	0.4	12.8
5	7.5	0.61	0.2	1.7	0.076	36	60	0.99494	3.1	0.4	9.3
5	8.3	0.56	0.22	2.4	0.082	10	86	0.9983	3.37	0.62	9.5
5	7.4	0.74	0.07	1.7	0.086	15	48	0.99502	3.12	0.48	10
6	7.1	0.6	0.01	2.3	0.079	24	37	0.99514	3.4	0.61	10.9
5	7.1	0.72	0	1.8	0.123	6	14	0.99627	3.45	0.58	9.8
5	6.1	0.64	0.02	2.4	0.069	26	46	0.99358	3.47	0.45	11
6	6.8	0.64	0	2.7	0.123	15	33	0.99538	3.44	0.63	11.3
4	6.3	1.02	0	2	0.083	17	24	0.99437	3.59	0.55	11.2
6	8.5	0.37	0.32	1.8	0.066	26	51	0.99456	3.38	0.72	11.8
6	10.4	0.43	0.5	2.3	0.068	13	19	0.996	3.1	0.87	11.4
6	5	0.38	0.01	1.6	0.048	26	60	0.99084	3.7	0.75	14
5	7.5	0.58	0.2	2	0.073	34	44	0.99494	3.1	0.43	9.3
4	8.5	0.4	0.4	6.3	0.05	3	10	0.99566	3.28	0.56	12
7	9.8	0.3	0.39	1.7	0.062	3	9	0.9948	3.14	0.57	11.5
6	7.9	0.765	0	2	0.084	9	22	0.99619	3.33	0.68	10.9
5	11.3	0.37	0.5	1.8	0.09	20	47	0.99734	3.15	0.57	10.5
5	7	0.6	0.3	4.5	0.068	20	110	0.99914	3.3	1.17	10.2
6	8.2	0.635	0.1	2.1	0.073	25	60	0.99638	3.29	0.75	10.9
6	8.2	0.635	0.1	2.1	0.073	25	60	0.99638	3.29	0.75	10.9
6	7.2	0.53	0.14	2.1	0.064	15	29	0.99323	3.35	0.61	12.1
6	5.2	0.645	0	2.15	0.08	15	28	0.99444	3.78	0.61	12.5
5	8	0.28	0.44	1.8	0.081	28	68	0.99501	3.36	0.66	11.2
5	9.7	0.69	0.32	2.5	0.088	22	91	0.9979	3.29	0.62	10.1
5	7	0.62	0.1	1.4	0.071	27	63	0.996	3.28	0.61	9.2
5	8	1.18	0.21	1.9	0.083	14	41	0.99532	3.34	0.47	10.5
6	7.5	0.63	0.27	2	0.083	17	91	0.99616	3.26	0.58	9.8
6	7.5	0.63	0.27	2	0.083	17	91	0.99616	3.26	0.58	9.8
6	5	0.74	0	1.2	0.041	16	46	0.99258	4.01	0.59	12.5
6	6.7	0.46	0.24	1.7	0.077	18	34	0.9948	3.39	0.6	10.6
6	6.7	0.46	0.24	1.7	0.077	18	34	0.9948	3.39	0.6	10.6
6	7.4	0.6	0.26	2.1	0.083	17	91	0.99616	3.29	0.56	9.8
5	9.1	0.775	0.22	2.2	0.079	12	48	0.9976	3.18	0.51	9.6
5	6	0.5	0	1.4	0.057	15	26	0.99448	3.36	0.45	9.5
6	7.5	0.51	0.02	1.7	0.084	13	31	0.99538	3.36	0.54	10.5
6	7.6	0.54	0.02	1.7	0.085	17	31	0.99589	3.37	0.51	10.4
6	8.2	0.44	0.24	2.3	0.063	10	28	0.99613	3.25	0.53	10.2
5	7.2	0.655	0.03	1.8	0.078	7	12	0.99587	3.34	0.39	9.5
6	7.2	0.62	0.01	2.3	0.065	8	46	0.99332	3.32	0.51	11.8
5	7.2	0.58	0.03	2.3	0.077	7	28	0.99568	3.35	0.52	10
6	7.3	0.43	0.24	2.5	0.078	27	67	0.99648	3.6	0.59	11.1
5	9.2	0.54	0.31	2.3	0.112	11	38	0.99699	3.24	0.56	10.9
4	8	0.83	0.27	2	0.08	11	63	0.99652	3.29	0.48	9.8
5	7.3	0.74	0.08	1.7	0.094	10	45	0.99576	3.24	0.5	9.8
4	6.6	0.61	0	1.6	0.069	4	8	0.99396	3.33	0.37	10.4
5	8.7	0.78	0.51	1.7	0.415	12	66	0.99623	3	1.17	9.2
5	7.2	0.56	0.26	2	0.083	13	100	0.99586	3.26	0.52	9.9
6	7.2	0.45	0.15	2	0.078	10	28	0.99609	3.29	0.51	9.9
5	6.8	0.83	0.09	1.8	0.074	4	25	0.99534	3.38	0.45	9.6
5	7.1	0.755	0.15	1.8	0.107	20	84	0.99593	3.19	0.5	9.5
5	7.4	0.64	0.07	1.8	0.1	8	23	0.9961	3.3	0.58	9.6
6	6	0.49	0	2.3	0.068	15	33	0.99292	3.58	0.59	12.5
5	8	0.52	0.25	2	0.078	19	59	0.99612	3.3	0.48	10.2
5	8.7	0.675	0.1	1.6	0.09	4	11	0.99745	3.31	0.65	9.55
6	7.2	0.67	0	2.2	0.068	10	24	0.9956	3.42	0.72	11.1
6	7.6	0.3	0.42	2	0.052	6	24	0.9963	3.44	0.82	11.9
7	7.7	0.28	0.3	2	0.062	18	34	0.9952	3.28	0.9	11.3
7	8.1	0.29	0.36	2.2	0.048	35	53	0.995	3.27	1.01	12.4
6	6.4	0.47	0.4	2.4	0.071	8	19	0.9963	3.56	0.73	10.6
5	10	0.32	0.59	2.2	0.077	3	15	0.9994	3.2	0.78	9.6
7	7.3	0.34	0.33	2.5	0.064	21	37	0.9952	3.35	0.77	12.1
5	7.8	0.53	0.01	1.6	0.077	3	19	0.995	3.16	0.46	9.8
4	6.4	0.53	0.09	3.9	0.123	14	31	0.9968	3.5	0.67	11
6	7.7	0.23	0.37	1.8	0.046	23	60	0.9971	3.41	0.71	12.1
5	7.9	0.18	0.4	2.2	0.049	38	67	0.996	3.33	0.93	11.3
6	5.9	0.44	0	1.6	0.042	3	11	0.9944	3.48	0.85	11.7
6	10.2	0.54	0.37	15.4	0.214	55	95	1.00369	3.18	0.77	9
5	7	0.59	0	1.7	0.052	3	8	0.996	3.41	0.47	10.3
6	7.4	0.785	0.19	5.2	0.094	19	98	0.99713	3.16	0.52	9.56666666666667
6	7.3	0.67	0.02	2.2	0.072	31	92	0.99566	3.32	0.68	11.1
5	6.8	0.67	0	1.9	0.08	22	39	0.99701	3.4	0.74	9.7
7	7.2	0.37	0.32	2	0.062	15	28	0.9947	3.23	0.73	11.3
5	7.6	0.49	0.33	1.9	0.074	27	85	0.99706	3.41	0.58	9
6	6	0.54	0.06	1.8	0.05	38	89	0.99236	3.3	0.5	10.55
7	7.9	0.2	0.35	1.7	0.054	7	15	0.99458	3.32	0.8	11.9
6	6.8	0.64	0.03	2.3	0.075	14	31	0.99545	3.36	0.58	10.4
5	6.8	0.59	0.1	1.7	0.063	34	53	0.9958	3.41	0.67	9.7
7	7.3	0.48	0.32	2.1	0.062	31	54	0.99728	3.3	0.65	10
5	6.7	0.7	0.08	3.75	0.067	8	16	0.99334	3.43	0.52	12.6
5	9.9	0.5	0.5	13.8	0.205	48	82	1.00242	3.16	0.75	8.8
7	5.3	0.47	0.11	2.2	0.048	16	89	0.99182	3.54	0.88	13.6
4	5.6	0.62	0.03	1.5	0.08	6	13	0.99498	3.66	0.62	10.1
5	8.1	0.33	0.44	1.5	0.042	6	12	0.99542	3.35	0.61	10.7
5	6.8	0.68	0.21	2.1	0.07	9	23	0.99546	3.38	0.6	10.3
6	6.2	0.57	0.1	2.1	0.048	4	11	0.99448	3.44	0.76	10.8
5	6.2	0.65	0.06	1.6	0.05	6	18	0.99348	3.57	0.54	11.95
6	7	0.43	0.02	1.9	0.08	15	28	0.99492	3.35	0.81	10.6
6	6.6	0.895	0.04	2.3	0.068	7	13	0.99582	3.53	0.58	10.8
5	7.8	0.82	0.29	4.3	0.083	21	64	0.99642	3.16	0.53	9.4
6	7.5	0.38	0.57	2.3	0.106	5	12	0.99605	3.36	0.55	11.4
6	7.5	0.38	0.57	2.3	0.106	5	12	0.99605	3.36	0.55	11.4
6	6.4	0.36	0.21	2.2	0.047	26	48	0.99661	3.47	0.77	9.7
6	6.4	0.56	0.15	1.8	0.078	17	65	0.99294	3.33	0.6	10.5
5	6.1	0.32	0.25	2.3	0.071	23	58	0.99633	3.42	0.97	10.6
5	6.6	0.7	0.08	2.6	0.106	14	27	0.99665	3.44	0.58	10.2
5	6.1	0.32	0.25	2.3	0.071	23	58	0.99633	3.42	0.97	10.6
5	6.7	0.48	0.08	2.1	0.064	18	34	0.99552	3.33	0.64	9.7
6	7.9	0.29	0.49	2.2	0.096	21	59	0.99714	3.31	0.67	10.1
5	6.1	0.705	0.1	2.8	0.081	13	28	0.99631	3.6	0.66	10.2
7	6.6	0.56	0.14	2.4	0.064	13	29	0.99397	3.42	0.62	11.7
6	5.4	0.58	0.08	1.9	0.059	20	31	0.99484	3.5	0.64	10.2
6	6.2	0.52	0.08	4.4	0.071	11	32	0.99646	3.56	0.63	11.6
6	11.1	0.44	0.42	2.2	0.064	14	19	0.99758	3.25	0.57	10.4
5	7	0.57	0.02	2	0.072	17	26	0.99575	3.36	0.61	10.2
8	7.4	0.36	0.3	1.8	0.074	17	24	0.99419	3.24	0.7	11.4
6	6.3	0.68	0.01	3.7	0.103	32	54	0.99586	3.51	0.66	11.3
7	7	0.56	0.17	1.7	0.065	15	24	0.99514	3.44	0.68	10.55
5	6.9	0.63	0.33	6.7	0.235	66	115	0.99787	3.22	0.56	9.5
5	7.8	0.6	0.26	2	0.08	31	131	0.99622	3.21	0.52	9.9
5	7.2	0.695	0.13	2	0.076	12	20	0.99546	3.29	0.54	10.1
5	7.2	0.695	0.13	2	0.076	12	20	0.99546	3.29	0.54	10.1
6	6.4	0.36	0.53	2.2	0.23	19	35	0.9934	3.37	0.93	12.4
6	6	0.58	0.2	2.4	0.075	15	50	0.99467	3.58	0.67	12.5
6	8	0.3	0.63	1.6	0.081	16	29	0.99588	3.3	0.78	10.8
5	6.2	0.56	0.09	1.7	0.053	24	32	0.99402	3.54	0.6	11.3
5	6.1	0.715	0.1	2.6	0.053	13	27	0.99362	3.57	0.5	11.9
6	7.2	0.39	0.44	2.6	0.066	22	48	0.99494	3.3	0.84	11.5
6	7.2	0.66	0.33	2.5	0.068	34	102	0.99414	3.27	0.78	12.8
6	5.4	0.74	0.09	1.7	0.089	16	26	0.99402	3.67	0.56	11.6
5	6.2	0.6	0.08	2	0.09	32	44	0.9949	3.45	0.58	10.5
5	5.9	0.645	0.12	2	0.075	32	44	0.99547	3.57	0.71	10.2
